,slr_cum_ret,en_cum_ret,pls_cum_ret
198811,7.837635657254754,4.902342083009039,5.305493631457205
198812,8.310996242631452,5.146284098013021,5.602635175721708
198901,8.541572593378614,5.281682967095187,5.7304126557093715
198902,8.548288640025532,5.277950947854174,5.837042625323758
198903,8.455690513515579,5.274392802349733,5.774878009706889
198904,8.624705178002358,5.413208054457271,6.010456887511956
198905,8.385636997856771,5.2469464707141125,5.916564166275425
198906,8.659839972886804,5.357126831547875,6.019694400862233
198907,8.23785746042293,5.179203858002957,5.788648782712152
198908,9.191971226939835,5.779062464959769,6.420545751655065
198909,9.427284971085431,5.874047407195264,6.575289109575235
198910,8.948737663097502,5.674627419256091,6.3868111139794514
198911,9.232252664490463,5.763627561483328,6.486631093197759
198912,10.011705675604073,6.248161521919732,7.074486384861301
199001,10.025881719648364,6.3129425559449075,6.746366526572649
199002,10.581499988880429,6.676035749631613,7.119164489678116
199003,10.641286563447462,6.713756045390906,7.020017870073392
199004,11.03421452479358,6.968423753392775,7.374068054506308
199005,11.133241361448972,6.983645853147505,7.51973811949332
199006,11.020402021062054,7.027995316930431,7.5674920234570004
199007,11.622679485520365,7.289861921225168,7.985596853758565
199008,11.416693523471736,7.10002662845125,7.5973077311911705
199009,11.351279472269864,7.059345716376899,7.488453931449904
199010,11.13898700199209,7.029254476342319,7.583780144946913
199011,10.77182303607616,7.1621536456748265,7.498276417315056
199012,11.563744561027056,7.6880520486046064,8.106877825874486
199101,12.419979342791235,8.355777861949099,8.796492067330316
199102,12.467872688531445,8.460592174168395,8.895927259925132
199103,13.990989662876052,9.32309017253689,9.87644125987441
199104,14.651082627172686,9.61825529270347,10.389373235599528
199105,14.224570275684735,9.146374252769414,9.848413189272554
199106,14.681395919785237,9.451016391210725,10.069309143758208
199107,15.079206421901409,9.7988893104895,10.21746535932506
199108,15.013270735965378,9.821509742562977,10.509245692986028
199109,15.697621153628997,10.043610063531787,11.0853939455439
199110,16.54928798333623,10.873217456802076,12.042222020761107
199111,17.073933601015625,11.20194036954962,12.285178874585686
199112,17.33887614737015,11.362944867524646,12.167725391746897
199201,18.653428737757608,12.136326882389874,13.711234783075412
199202,18.65911762349197,12.100675289632244,13.938507070915627
199203,17.738853575848108,11.55859985426237,13.318856911271746
199204,16.992658619751907,10.938776981584155,12.344359865429258
199205,16.97581402903082,10.954544874950178,12.18568028007194
199206,17.711463512419826,11.34374919443145,12.468700830257129
199207,19.36433466029174,12.330711074687297,13.401353872634697
199208,19.112259074405486,12.213433937513468,13.328320160098876
199209,20.077485557204774,12.976781890536797,13.815003926203783
199210,21.672597266240256,14.007758437884725,14.587478375105789
199211,24.515691358711415,15.845349695373262,16.5135948293772
199212,25.06075446565585,16.197643065737964,16.948407254597996
199301,25.586581822907164,16.247027756752733,16.950318449825982
199302,23.671538278924544,15.03100891414906,15.689460031078003
199303,25.290877862525075,16.05926096221325,16.51796567810207
199304,23.928057336595398,15.193893987229952,15.61781587884633
199305,25.155384073625033,15.872299970877574,16.12731753679071
199306,26.855566458897986,16.74512300707566,17.31658699813537
199307,26.91425235333751,16.758059134314674,17.511322698891075
199308,26.096313704040515,16.219326870338822,16.906618496344183
199309,25.51630443090726,15.884238517413364,16.944901472233827
199310,26.110600772455616,16.238598527220677,17.33505220531324
199311,26.390628804927225,16.488213999213723,17.141201041521466
199312,26.53848432530129,16.605315534711853,17.353586972115135
199401,28.169554223085413,17.340032571504352,17.35211317209358
199402,26.856403119466275,16.753842255684432,16.767488471333706
199403,27.126579021553447,17.090940012800715,17.427666951111593
199404,29.358180657940878,18.720377901254164,19.022297628062937
199405,30.023833894542978,19.144834725931876,19.675451891649075
199406,28.58927812724501,18.237889175018967,18.856288640821447
199407,31.19653453464458,19.89612395231885,19.973014685905703
199408,33.311037984328685,21.41987614758259,21.296362540863832
199409,34.29276004476908,22.051149329639415,21.63756202933266
199410,35.341613478456665,22.840977878753247,22.010064061123497
199411,37.547013794531345,24.237687982649938,23.033110858950916
199412,39.86353475441663,25.733069547165886,24.55162725288641
199501,40.50413129571885,26.034255089619837,24.691643001936672
199502,42.29346708201417,27.438958862067686,26.22696190432339
199503,41.069589664333996,26.690056652319655,25.583095378455848
199504,46.130046332467664,30.00047170431365,28.45215061256562
199505,45.201544536417906,29.301096179701965,28.19973481623405
199506,47.736173317298196,31.10905762400552,30.024152412619703
199507,49.67693186170206,32.425593194334986,30.878827985970165
199508,52.52146739105684,34.274127088550046,32.018402637719184
199509,55.68621583515955,35.400506311673695,33.23897547479236
199510,52.39801406972182,33.50435208288955,31.251287216907606
199511,54.0280822236915,34.423218801713325,31.702047743714584
199512,54.51285945987115,35.3754692570627,32.59108766554291
199601,55.0797017020115,35.90632139998041,33.53974105855575
199602,60.15701558451049,39.72762561175975,37.43479990184409
199603,57.64627429617064,39.02385522941842,36.36806613579988
199604,58.71447350960112,39.76456730950594,36.97799323269188
199605,65.08431780841534,44.803056528326515,41.36407365831645
199606,62.252102231109184,42.709199126294415,39.45597781029943
199607,57.65496046797503,40.61587509899797,38.508864608048505
199608,59.205412861585664,41.25322106331764,39.45582444008524
199609,62.30640017295349,43.447306430812695,40.791790423496714
199610,61.992835764102374,42.83925270371027,39.02942099120984
199611,59.46438934144248,41.84250464029634,37.78791592550266
199612,66.16375841937268,46.129874473033404,41.86815548983625
199701,65.81404846327246,46.398546848909746,41.819003463591805
199702,59.74281423159679,42.5790682146748,37.5633762105271
199703,58.068022249795526,41.52332241667121,36.32841015032884
199704,59.12196359520124,41.97145221458448,36.779896816319734
199705,66.22769649352252,47.01590457468335,42.22489455043334
199706,70.49748840253716,50.37881480567833,44.49638568959858
199707,72.87538485199715,53.05760341544027,46.43993275959056
199708,78.04689098412206,57.524348896563545,50.37485297892712
199709,77.53032528632225,57.72851047124254,51.0477999184827
199710,77.02651811348368,56.720138507027386,50.38153974096138
199711,74.77735143056046,56.33959013630855,50.30829366514873
199712,69.67997673131262,52.529488931246696,47.19290445155177
199801,73.55181779139971,56.09298727803991,48.50854390838808
199802,74.18269631317116,56.514434531160965,49.284553239888446
199803,78.85331107818853,58.870594778924655,51.367769073332006
199804,83.00114061345977,62.578828478117586,54.590857480653746
199805,86.74461854088199,65.19937698870933,55.81564993206472
199806,89.3735847898946,67.05261143633807,55.97538627268458
199807,89.3726112089325,66.43307675929759,54.14233962622072
199808,82.24843468123282,61.152359886394336,50.27734742572047
199809,90.12283376617874,67.3810257829284,55.45069740102711
