,ls_ret,value,cumulative_ret,MKTRF,SMB,HML,RF,MOM,DATE,yyyymm,ls_sub_rf
199610,-0.013995199635004037,136999465.3125,42.83925270371027,0.0086,-0.0444,0.049400000000000006,0.0042,0.0379,1996-10-31,199610,-0.018195199635004038
199611,-0.02326716738753018,73719026.25,41.84250464029634,0.0625,-0.04019999999999999,0.0139,0.0040999999999999995,-0.023700000000000002,1996-11-29,199611,-0.02736716738753018
199612,0.1024644645341836,155825815.125,46.129874473033404,-0.017,0.0316,0.0131,0.0046,0.0063,1996-12-31,199612,0.0978644645341836
199701,0.005824259852113975,175997901.875,46.398546848909746,0.0499,-0.0195,-0.014199999999999999,0.0045000000000000005,0.0196,1997-01-31,199701,0.0013242598521139744
199702,-0.08231892793264707,415655679.5,42.5790682146748,-0.0049,-0.0322,0.0567,0.0039000000000000003,-0.0213,1997-02-28,199702,-0.08621892793264707
199703,-0.024794948369483753,201119430.5,41.52332241667121,-0.050300000000000004,-0.0036,0.0339,0.0043,0.009000000000000001,1997-03-31,199703,-0.02909494836948375
199704,0.01079224329441786,322377712.875,41.97145221458448,0.0404,-0.057699999999999994,0.0007000000000000001,0.0043,0.0484,1997-04-30,199704,0.00649224329441786
199705,0.12018770125723674,666067921.625,47.01590457468335,0.0674,0.0519,-0.041299999999999996,0.0049,-0.051699999999999996,1997-05-30,199705,0.11528770125723674
199706,0.07152707709054297,118092510.1875,50.37881480567833,0.040999999999999995,0.012199999999999999,0.0158,0.0037,0.026000000000000002,1997-06-30,199706,0.06782707709054298
199707,0.053172918420065815,404696253.15625,53.05760341544027,0.0733,-0.0274,0.0026,0.0043,0.0377,1997-07-31,199707,0.04887291842006582
199708,0.08418671771034815,233838694.25,57.524348896563545,-0.0415,0.0728,0.0118,0.0040999999999999995,-0.0256,1997-08-29,199708,0.08008671771034814
199709,0.0035491331687403926,154642091.59375,57.72851047124254,0.0535,0.0253,0.0037,0.0044,0.0147,1997-09-30,199709,-0.0008508668312596076
199710,-0.017467486272965158,419375392.6875,56.720138507027386,-0.038,-0.0074,0.0227,0.0042,-0.005699999999999999,1997-10-31,199710,-0.021667486272965157
199711,-0.006709228516282381,276117231.0,56.33959013630855,0.0298,-0.051100000000000007,0.011899999999999999,0.0039000000000000003,0.0033,1997-11-28,199711,-0.010609228516282381
199712,-0.06762742142503458,654094375.4375,52.529488931246696,0.0132,-0.024900000000000002,0.0384,0.0048,0.0398,1997-12-31,199712,-0.07242742142503458
